,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Regionname,Count,Age,Historic
0,Abbotsford,85 Turner St,2,h,1480000.0,S,Biggin,3/12/2016,2.5,3067.0,1.0,1.0,202.0,[[1954.09294906]],Yarra,Northern Metropolitan,0,[[66.90705094]],Historic
1,Abbotsford,25 Bloomburg St,2,h,1035000.0,S,Biggin,4/02/2016,2.5,3067.0,1.0,0.0,156.0,1900.0,Yarra,Northern Metropolitan,1,121.0,Historic
2,Abbotsford,5 Charles St,3,h,1465000.0,SP,Biggin,4/03/2017,2.5,3067.0,2.0,0.0,134.0,1900.0,Yarra,Northern Metropolitan,2,121.0,Historic
3,Abbotsford,40 Federation La,3,h,850000.0,PI,Biggin,4/03/2017,2.5,3067.0,2.0,1.0,94.0,[[1954.09294906]],Yarra,Northern Metropolitan,3,[[66.90705094]],Historic
4,Abbotsford,55a Park St,4,h,1600000.0,VB,Nelson,4/06/2016,2.5,3067.0,1.0,2.0,120.0,2014.0,Yarra,Northern Metropolitan,4,7.0,Contemporary
5,Abbotsford,129 Charles St,2,h,941000.0,S,Jellis,7/05/2016,2.5,3067.0,1.0,0.0,181.0,[[1954.09294906]],Yarra,Northern Metropolitan,5,[[66.90705094]],Historic
6,Abbotsford,124 Yarra St,3,h,1876000.0,S,Nelson,7/05/2016,2.5,3067.0,2.0,0.0,245.0,1910.0,Yarra,Northern Metropolitan,6,111.0,Historic
7,Abbotsford,98 Charles St,2,h,1636000.0,S,Nelson,8/10/2016,2.5,3067.0,1.0,2.0,256.0,1890.0,Yarra,Northern Metropolitan,7,131.0,Historic
8,Abbotsford,6/241 Nicholson St,1,u,300000.0,S,Biggin,8/10/2016,2.5,3067.0,1.0,1.0,0.0,[[1954.09294906]],Yarra,Northern Metropolitan,8,[[66.90705094]],Historic
9,Abbotsford,10 Valiant St,2,h,1097000.0,S,Biggin,8/10/2016,2.5,3067.0,1.0,2.0,220.0,1900.0,Yarra,Northern Metropolitan,9,121.0,Historic
10,Abbotsford,411/8 Grosvenor St,2,u,700000.0,VB,Jellis,12/11/2016,2.5,3067.0,2.0,1.0,0.0,[[1954.09294906]],Yarra,Northern Metropolitan,10,[[66.90705094]],Historic
11,Abbotsford,40 Nicholson St,3,h,1350000.0,VB,Nelson,12/11/2016,2.5,3067.0,2.0,2.0,214.0,2005.0,Yarra,Northern Metropolitan,11,16.0,Contemporary
12,Abbotsford,123/56 Nicholson St,2,u,750000.0,S,Biggin,12/11/2016,2.5,3067.0,2.0,1.0,0.0,2009.0,Yarra,Northern Metropolitan,12,12.0,Contemporary
13,Abbotsford,45 William St,2,h,1172500.0,S,Biggin,13/08/2016,2.5,3067.0,1.0,1.0,195.0,[[1954.09294906]],Yarra,Northern Metropolitan,13,[[66.90705094]],Historic
14,Abbotsford,7/20 Abbotsford St,1,u,441000.0,SP,Greg,14/05/2016,2.5,3067.0,1.0,1.0,0.0,[[1954.09294906]],Yarra,Northern Metropolitan,14,[[66.90705094]],Historic
15,Abbotsford,16 William St,2,h,1310000.0,S,Jellis,15/10/2016,2.5,3067.0,1.0,2.0,238.0,1890.0,Yarra,Northern Metropolitan,15,131.0,Historic
16,Abbotsford,42 Henry St,3,h,1200000.0,S,Jellis,16/07/2016,2.5,3067.0,2.0,1.0,113.0,1880.0,Yarra,Northern Metropolitan,16,141.0,Historic
17,Abbotsford,78 Yarra St,3,h,1176500.0,S,LITTLE,16/07/2016,2.5,3067.0,1.0,1.0,138.0,1890.0,Yarra,Northern Metropolitan,17,131.0,Historic
18,Abbotsford,196 Nicholson St,3,h,955000.0,S,Collins,17/09/2016,2.5,3067.0,1.0,0.0,183.0,[[1954.09294906]],Yarra,Northern Metropolitan,18,[[66.90705094]],Historic
19,Abbotsford,42 Valiant St,2,h,890000.0,S,Biggin,17/09/2016,2.5,3067.0,1.0,1.0,150.0,1985.0,Yarra,Northern Metropolitan,19,36.0,Contemporary
20,Abbotsford,3/72 Charles St,4,h,1330000.0,PI,Kay,18/03/2017,2.5,3067.0,2.0,2.0,780.0,1900.0,Yarra,Northern Metropolitan,20,121.0,Historic
21,Abbotsford,13/11 Nicholson St,3,t,900000.0,S,Beller,18/03/2017,2.5,3067.0,2.0,2.0,0.0,2010.0,Yarra,Northern Metropolitan,21,11.0,Contemporary
22,Abbotsford,138/56 Nicholson St,3,u,1090000.0,S,Jellis,18/03/2017,2.5,3067.0,2.0,2.0,4290.0,[[1954.09294906]],Yarra,Northern Metropolitan,22,[[66.90705094]],Historic
23,Abbotsford,6/219 Nicholson St,2,u,500000.0,S,Collins,18/06/2016,2.5,3067.0,1.0,1.0,0.0,1970.0,Yarra,Northern Metropolitan,23,51.0,Contemporary
24,Abbotsford,52a William St,2,h,1100000.0,PI,Biggin,18/06/2016,2.5,3067.0,2.0,1.0,124.0,2013.0,Yarra,Northern Metropolitan,24,8.0,Contemporary
25,Abbotsford,49 Park St,2,h,1315000.0,S,Marshall,19/11/2016,2.5,3067.0,1.0,0.0,147.0,1900.0,Yarra,Northern Metropolitan,25,121.0,Historic
26,Abbotsford,5/20 Abbotsford St,1,u,426000.0,SP,Greg,22/08/2016,2.5,3067.0,1.0,1.0,0.0,[[1954.09294906]],Yarra,Northern Metropolitan,26,[[66.90705094]],Historic
27,Abbotsford,48 Abbotsford St,3,h,1447500.0,PI,Nelson,22/08/2016,2.5,3067.0,3.0,1.0,166.0,2012.0,Yarra,Northern Metropolitan,27,9.0,Contemporary
28,Abbotsford,116/56 Nicholson St,1,u,457000.0,S,Jellis,22/08/2016,2.5,3067.0,1.0,1.0,0.0,[[1954.09294906]],Yarra,Northern Metropolitan,28,[[66.90705094]],Historic
29,Abbotsford,159 Park St,2,h,1135000.0,S,Nelson,22/08/2016,2.5,3067.0,2.0,2.0,98.0,1920.0,Yarra,Northern Metropolitan,29,101.0,Historic
